timestamp,value
1738558972.3686125,inf
1738558972.6251478,inf
1738558972.8774176,inf
1738558973.1365714,inf
1738558973.4050405,inf
1738558973.6648195,inf
1738558973.9182558,inf
1738558974.163062,inf
1738558974.4181206,inf
1738558974.6758838,inf
1738558974.929894,inf
1738558975.1880407,inf
1738558975.4424007,inf
1738558975.701492,inf
1738558975.955837,inf
1738558976.212801,inf
