BrainBitResistData(O1=inf, O2=inf, T3=inf, T4=inf)
BrainBitResistData(O1=inf, O2=inf, T3=2621546.3843788, T4=inf)
BrainBitResistData(O1=inf, O2=inf, T3=2621546.3843788, T4=2242613.3244323647)
BrainBitResistData(O1=inf, O2=2569288.033760103, T3=2621546.3843788, T4=2242613.3244323647)
BrainBitResistData(O1=2557167.2031089813, O2=2569288.033760103, T3=2621546.3843788, T4=2242613.3244323647)
BrainBitResistData(O1=2557167.2031089813, O2=2569288.033760103, T3=2521865.9609469995, T4=2242613.3244323647)
BrainBitResistData(O1=2557167.2031089813, O2=2569288.033760103, T3=2521865.9609469995, T4=2207376.169245564)
BrainBitResistData(O1=2557167.2031089813, O2=2549274.5869394178, T3=2521865.9609469995, T4=2207376.169245564)
BrainBitResistData(O1=2547189.9800522937, O2=2549274.5869394178, T3=2521865.9609469995, T4=2207376.169245564)
BrainBitResistData(O1=2547189.9800522937, O2=2549274.5869394178, T3=2518414.1652560225, T4=2207376.169245564)
BrainBitResistData(O1=2547189.9800522937, O2=2549274.5869394178, T3=2518414.1652560225, T4=2205545.875752013)
BrainBitResistData(O1=2547189.9800522937, O2=2545793.5452081794, T3=2518414.1652560225, T4=2205545.875752013)
BrainBitResistData(O1=2545837.795738661, O2=2545793.5452081794, T3=2518414.1652560225, T4=2205545.875752013)
BrainBitResistData(O1=2545837.795738661, O2=2545793.5452081794, T3=2517372.497595944, T4=2205545.875752013)
BrainBitResistData(O1=2545837.795738661, O2=2545793.5452081794, T3=2517372.497595944, T4=2205349.2914987803)
BrainBitResistData(O1=2545837.795738661, O2=2546350.2372267125, T3=2517372.497595944, T4=2205349.2914987803)
BrainBitResistData(O1=2545183.7016903893, O2=2546350.2372267125, T3=2517372.497595944, T4=2205349.2914987803)
