timestamp,value
1739914029.2164416,inf
1739914029.4691136,inf
1739914029.7350564,inf
1739914029.9903374,2447602.126695754
1739914030.2401447,2447602.126695754
1739914030.4947598,2447602.126695754
1739914030.744648,2447602.126695754
1739914030.9987016,2432440.9794244575
1739914031.2978492,2432440.9794244575
1739914031.5655475,2432440.9794244575
1739914031.8350458,2432440.9794244575
1739914032.0893788,2441629.068020886
1739914032.338705,2441629.068020886
1739914032.587792,2441629.068020886
1739914032.867095,2441629.068020886
1739914033.1380494,2413806.9284505164
1739914033.391323,2413806.9284505164
1739914033.646049,2413806.9284505164
1739914033.9000897,2413806.9284505164
1739914034.154595,2439011.4202608303
1739914034.413026,2439011.4202608303
1739914034.666457,2439011.4202608303
1739914034.9228518,2439011.4202608303
1739914035.1718853,2399033.3547910266
1739914035.4348893,2399033.3547910266
1739914035.7030723,2399033.3547910266
1739914035.9577994,2399033.3547910266
1739914036.2057714,2436808.303332301
1739914036.4855494,2436808.303332301
1739914036.7348082,2436808.303332301
1739914036.988511,2436808.303332301
1739914037.2388873,2437812.8412369173
1739914037.5030446,2437812.8412369173
1739914037.7515693,2437812.8412369173
1739914038.0045116,2437812.8412369173
1739914038.2710748,2437981.451016857
