timestamp,value
1739914176.8272045,inf
1739914177.0905495,inf
1739914177.3472795,inf
1739914177.5984132,2212238.6413306952
1739914177.8534358,2212238.6413306952
1739914178.10149,2212238.6413306952
1739914178.3575678,2212238.6413306952
1739914178.6102786,2198884.645034134
1739914178.8856313,2198884.645034134
1739914179.1459136,2198884.645034134
1739914179.3896332,2198884.645034134
1739914179.6521482,2188857.576552306
1739914179.9114234,2188857.576552306
1739914180.1693811,2188857.576552306
1739914180.4231973,2188857.576552306
1739914180.6713903,2196262.9282597816
1739914180.9328053,2196262.9282597816
1739914181.1868796,2196262.9282597816
1739914181.4411392,2196262.9282597816
1739914181.688106,2523278.163221515
1739914181.9505827,2523278.163221515
1739914182.2035787,2523278.163221515
1739914182.4605792,2523278.163221515
1739914182.7240684,2537315.753920003
1739914183.0061061,2537315.753920003
1739914183.2705746,2537315.753920003
1739914183.5274212,2537315.753920003
1739914183.7731204,2531426.8729784074
1739914184.0390544,2531426.8729784074
1739914184.2801127,2531426.8729784074
1739914184.5430064,2531426.8729784074
1739914184.8021362,2530418.266059494
1739914185.060624,2530418.266059494
1739914185.3017483,2530418.266059494
1739914185.569543,2530418.266059494
1739914185.8136568,2529989.7479913216
