timestamp,value
1739913249.7096434,inf
1739913249.9679122,inf
1739913250.2254205,inf
1739913250.4749417,2550165.192443714
1739913250.7323565,2550165.192443714
1739913250.9969413,2550165.192443714
1739913251.24897,2550165.192443714
1739913251.5088687,2531018.445668328
1739913251.770402,2531018.445668328
1739913252.0206113,2531018.445668328
1739913252.2728477,2531018.445668328
1739913252.5271132,2529130.423034436
1739913252.7780805,2529130.423034436
1739913253.0324757,2529130.423034436
1739913253.2985191,2529130.423034436
1739913253.5460837,2526212.4311565696
1739913253.811009,2526212.4311565696
1739913254.0648696,2526212.4311565696
1739913254.3303647,2526212.4311565696
1739913254.5803294,2525235.6134118526
1739913254.830097,2525235.6134118526
1739913255.0995867,2525235.6134118526
1739913255.3543582,2525235.6134118526
1739913255.604518,2526611.703184481
1739913255.8587441,2526611.703184481
1739913256.1193738,2526611.703184481
1739913256.3613508,2526611.703184481
1739913256.621074,2527742.1262189164
1739913256.875548,2527742.1262189164
1739913257.1271596,2527742.1262189164
1739913257.394397,2527742.1262189164
1739913257.6529791,2527799.092419077
1739913257.907176,2527799.092419077
1739913258.175429,2527799.092419077
1739913258.4215152,2527799.092419077
1739913258.6790266,2527419.402522471
1739913258.9343038,2527419.402522471
1739913259.1855671,2527419.402522471
1739913259.44451,2527419.402522471
1739913259.6975658,2527348.9577124515
1739913259.9530234,2527348.9577124515
1739913260.200027,2527348.9577124515
1739913260.4571264,2527348.9577124515
1739913260.7239695,2527261.7282184553
1739913260.9786294,2527261.7282184553
1739913261.2274776,2527261.7282184553
