timestamp,reading
1740012925.6692123,0
1740012925.6692123,0
1740012925.6692123,20.2759
1740012925.6692123,64.0564
1740012925.7334287,41.2354
1740012925.7334287,0
1740012925.7334287,0
1740012925.7334287,0
1740012925.7975583,18.5242
1740012925.7975583,42.8101
1740012925.7975583,0
1740012925.7975583,0
1740012925.8626544,18.2312
1740012925.8626544,21.7957
1740012925.8626544,0
1740012925.8626544,33.6914
1740012925.9258223,16.5344
1740012925.9258223,0
1740012925.9258223,0
1740012925.9258223,0
1740012925.9897735,0
1740012925.9897735,37.8906
1740012925.9897735,24.5728
1740012925.9897735,0
