timestamp,value
1739914235.6714046,inf
1739914235.9354246,inf
1739914236.1860213,inf
1739914236.4454074,inf
1739914236.6954286,inf
1739914236.94442,2535309.984184886
1739914237.2421317,2535309.984184886
1739914237.4879093,2535309.984184886
1739914237.7372844,2535309.984184886
1739914238.0018826,2523764.4104300286
1739914238.2506695,2523764.4104300286
1739914238.512433,2523764.4104300286
1739914238.779947,2523764.4104300286
1739914239.0363998,2529055.654896725
1739914239.2873776,2529055.654896725
1739914239.5454,2529055.654896725
1739914239.7969577,2529055.654896725
1739914240.0538585,2528503.5405192766
1739914240.3169923,2528503.5405192766
1739914240.5640917,2528503.5405192766
1739914240.8275588,2528503.5405192766
1739914241.0878966,2529230.1138847168
1739914241.353744,2529230.1138847168
1739914241.5988421,2529230.1138847168
1739914241.8564918,2529230.1138847168
1739914242.1060505,2528332.896232188
1739914242.373651,2528332.896232188
1739914242.6163394,2528332.896232188
1739914242.8726487,2528332.896232188
1739914243.1263132,2527446.6140555833
1739914243.3938704,2527446.6140555833
1739914243.6393335,2527446.6140555833
1739914243.8898785,2527446.6140555833
1739914244.1695669,2495076.8423813274
1739914244.41436,2495076.8423813274
1739914244.6804557,2495076.8423813274
