timestamp,value
1739913891.002506,inf
1739913891.255716,inf
1739913891.5131474,inf
1739913891.7625966,2548772.3179871095
1739913892.0358684,2548772.3179871095
1739913892.293533,2548772.3179871095
1739913892.5488997,2548772.3179871095
1739913892.8301678,2528632.986036605
1739913893.0728054,2528632.986036605
1739913893.3426764,2528632.986036605
1739913893.592977,2528632.986036605
1739913893.8440325,2527834.6962941773
1739913894.1072097,2527834.6962941773
1739913894.3537881,2527834.6962941773
1739913894.616992,2527834.6962941773
1739913894.8726473,2527085.234723315
1739913895.1265357,2527085.234723315
1739913895.372146,2527085.234723315
1739913895.6241987,2527085.234723315
1739913895.893938,2525576.9019860285
1739913896.1605747,2525576.9019860285
1739913896.418607,2525576.9019860285
1739913896.6666586,2525576.9019860285
1739913896.9220514,2525533.4143957277
1739913897.1781285,2525533.4143957277
1739913897.4337974,2525533.4143957277
1739913897.6828868,2525533.4143957277
1739913897.9544163,2525475.430941993
1739913898.242685,2525475.430941993
1739913898.5122197,2525475.430941993
1739913898.758019,2525475.430941993
1739913899.0060983,2526282.367339803
1739913899.259345,2526282.367339803
1739913899.512986,2526282.367339803
1739913899.7661102,2526282.367339803
1739913900.01976,2526148.3441813895
